"meigara_id","toukou_id","title","created_at","user_name","text"
95,6077,"CEL-24 生原","2016-07-11 19:40:26","酣","キンキンに冷やしても華やかに香るワイングラス。甘さと酸とのバランス良さとサラリとしてベタつかないさばけの良さ。友人宅食事会の際、持ち込み、食前酒として評判の良かった一本。"
95,5685,"純米吟醸原酒 生酒","2015-10-05 13:38:49","左党","「久礼」の秋あがりを買いに行った折に冷蔵庫内で発見し、高知つながりの縁を感じて購入。 日本酒度ー15、酸度2、原酒にしてアルコール分14% ラベルにいろいろ表示してますが使用米の提示はありません。 開栓し片口に移しているとライチのような香りが辺りに漂います。 含むと香りはそれほどでもなく、スペックどおりの甘さを酸が引き締め、低めのアルコール分も相まってスイスイと飲めてしまいます。"
95,5082,"純米吟醸生原酒","2014-05-21 11:07:57","バリカタ","酒屋さんにバナナの味わいと薦められて。 べとつかない軽い甘味。 辛口として売られているが、そんなに辛くない気がする。"
95,4317,"純米吟醸生原酒 高育63号","2012-06-26 00:07:17","こたつ猫","地酒を扱っている酒屋でお勧めされたこのお酒。 含むとバナナの香り、しかし喉を通る時はスッキリ。 カツオのたたきで戴きました。 美味い♪"
95,4294,"純米吟醸 生原酒 山田錦","2012-05-30 21:38:03","ひなちゃん","注ぐと仄かな甘みある立ち香を感じます。 含むとライチ・パイナップル系の南国果実の甘味、 サッパリとした軽快な味わいのステップが好印象。 余韻はキレ良いというよりは、この甘味が嫌み無く長めに続きます。 ジワ〜ッと甘みを感じながら、 いつの間にかライム系の酸味を伴ってヒケていく感じ。 カクテル好きな女性なんかにはウケるんじゃないでしょうか。 美味しいです。"
95,3591,"純米吟醸 原酒 生","2010-08-17 23:41:00","ひなちゃん","含むとイチゴのようなベリー系の香りと甘み。 原酒の重厚感よりも生のフレッシュさが目立っており 非常に柔らかい。 食後のデザートに合わせてみたい一品です。 ラベルにスペックが記入してあるので記載しておきます。  酵母    ：CEL−２４ アルコール ：１４．８ 日本酒度  ：−８．５ 酸度    ：１．９ アミノ酸  ：０．９ 原料米   ：八反錦 精米    ：５０％"
95,3285,"純米吟醸原酒 CEL-24 （火入）","2009-11-17 19:15:45","rumura","高知のお酒のみを扱っている居酒屋さんで勧められて飲んだのですが、とても甘口でおいしかったです。特別香り高いわけではないんですが、飲み口は濃厚でとても甘くてほんとおいしかったです。店長さんは日本酒飲んだことのない人に最初に勧めてるって言われてましたが、わかる気がしました。"
95,3231,"純米吟醸 山田錦 生酒","2009-09-02 21:00:52","エル・ドゥロ","甘くしかしすっきりした吟醸香がたっぷりあります。 香りの甘さで優しく入るが、すっきり軽快な味わいが巧くバランスを取ってます。 夏越しの生酒を思わせない軽やかさフルーティーさが美味しい。 さらっと流れて、シャープさが辛みに転じます。  香りはあっても食中にピッタリ、多様な肴にあいますね。  ただ、甘さを感じるのではないのですが、後口の切れ味がもうひとつ。 盃を重ねるとやや酸が残る感じがしました。"
95,1169,"にごり","2006-03-18 19:49:58","ごえも〜ん","飲み屋で勧められてのんだ。にごりは無ラベルの非流通品とのこと、蔵見学でもしないと飲めない酒だそうだ。 よくできたにごり特有の、くせのなさ。これはいける、うまいぞ。度数もちょい低めとのことで、ぐいぐい飲める。日本酒初心者の人にもいいな。 ふーむ、高知県には亀泉って酒もあるのか、しらんかったな。 "
95,1132,"お気に入り","2006-02-18 22:18:20","いかつり７７","この酒の香がたまりません。白身魚・烏賊刺しで一杯 自宅でのゆっくりとした時間が過ぎていきます。 "
