"meigara_id","toukou_id","title","created_at","user_name","text"
20,6171,"八海山 特別純米原酒 生詰","2016-09-19 20:10:48","海の男","八海山と言うことで味は薄そうだな、と思っていたらさすがの純米原酒｡しっかりした旨みとコクがあります。これならまた飲んでもいいな。"
20,5891,"八海山 清酒","2016-02-17 21:14:25","海の男","正月に親が買ったのをおすそ分け。 上品な軽い香りと味が口の中に広がります。後味は軽い端麗辛口でスッキリと旨い。ちょっと薄いか?  燗がいいという書き込みがあったので試しましたが30℃程度(推測)でアルコールの香りが強く感じられました。味も香りに邪魔される感じ。私は冷やの方がいい。"
20,5708,"燗上がりする旨い酒","2015-10-19 21:46:04","twins","八海山 清酒。  常温や冷よりも燗酒で楽しんでみてください。 燗上がりする素晴らしい酒ですので皆さんもぜひお試し下さい。"
20,5678,"八海山 特別本醸造","2015-10-02 02:44:22","バックマイ"," 米の甘味ははっきり感じられますが、惜しいかな、コクが薄い。 旨いことは旨いですが、適正価格以上で買う酒ではないですね。 神奈川ではプレミア価格がまかり通っていますので。"
20,5618,"最高 Sparkling","2015-07-29 18:10:11","leregine","八海山発泡濁り酒を最高スパークリング酒。 Really best sparkling sake. Dry good test, much better than other sparkling drank till now, ranking:  1) Hakkaisan 2) Masumi 3) Bijoufu 4) Hakugakusen 5) Daishinshu  "
20,5456,"越後で候 赤ラベル","2015-03-13 22:34:59","すくなびこな","近所の蕎麦屋で。 すっきりまろやかな米の甘味で、酸味や苦みは控え目。 口当たりがよく、杯が進む。"
20,5202,"発泡にごり酒","2014-09-23 21:00:54","ひなちゃん","包装を開封すると栓がまさかの王冠。 これは飲みきれということか。１人飲みにはハードル高いぜ・・ 含むとシュワッと極め細やかな炭酸、 やや苦みもありながらオリの甘味がからみます。 炭酸と甘味のバランスが良いですね。 さすがに一気に４合は飲めなかったので、 残りは無理やり王冠嵌めて冷蔵庫に戻しました（笑）。"
20,5189,"純米吟醸","2014-09-11 17:00:01","オクトーバ","友達から純米吟醸の小瓶をもらった。ほのかに甘く、スッキリ、綺麗に美味しいのだが、八海山は本醸造が一番美味しい。純米吟醸に高いお金出す意味がない。"
20,5094,"しぼりたて生原酒 越後で候（自家熟）","2014-06-10 22:36:54","ひなちゃん","知り合いから俺はこういうのは飲めないからということで 日光の当たらない場所に常温放置されて忘れ去られていた、 １２年１０月出荷の「越後で候」（１升瓶）を２本も頂きました。 およそ１年８カ月ぶりの開栓・・ドキドキ・・ おおっ、飲める（笑）！ やはり実力蔵、多少のことではへこたれませんね！ かなり熟感出てますが、まだ古酒っぽくもない。 フレッシュな新酒が熟成されていく過程そのものを味わっているような、 生熟とはこういうことなのかな。 あっ、そういや本来のこの銘柄まだ未飲・・今年は飲んでみよかな。"
20,4887,"誇大妄想","2014-01-23 21:21:53","long,long,long","この酒は４０年以上前から神奈川県では問屋を通して、小売り酒屋に卸していて、今でも神奈川県ではそうだと思います。２８年程前までは、１０本仕入れると１本のおまけがありました。知り合いの東京の小売酒屋に紹介してから、その店主の尽力もありマスコミに取り上げられ、写真集まで出て、あれよ、あれよという間に幻の酒に。他県に売りに来てたくらいですから、地元で売れてた？んんんーどうでしょう？ 新潟には現在も９０件以上の酒蔵があると思いますが、１つや２つ飲んで、ねぇ？"
